"astro-ph/0110093","Chung-Pei Ma","Nick Sarbu, David Rusin and Chung-Pei Ma (U Penn; UC Berkeley)","Strong Gravitational Lensing and Dark Energy","12 pages, 3 figures. Accepted for publication in ApJ Letters","Astrophys.J. 561 (2001) L147-L151","10.1086/324679",,"astro-ph hep-ph",,"  We investigate the statistics of gravitational lenses in flat, low-density
cosmological models with different cosmic equations of state w. We compute the
lensing probabilities as a function of image separation \theta using a lens
population described by the mass function of Jenkins et al. and modeled as
singular isothermal spheres on galactic scales and as Navarro, Frenk & White
halos on cluster scales. It is found that COBE-normalized models with w > - 0.4
produce too few arcsecond-scale lenses in comparison with the JVAS/CLASS radio
survey, a result that is consistent with other observational constraints on w.
The wide-separation (\theta > 4'') lensing rate is a particularly sensitive
probe of both w and the halo mass concentration. The absence of these systems
in the current JVAS/CLASS data excludes highly concentrated halos in w < -0.7
models. The constraints can be improved by ongoing and future lensing surveys
of > 10^5 sources.
","[{""version"":""v1"",""created"":""Thu, 4 Oct 2001 18:07:19 GMT""}]","2009-11-07"
"hep-lat/0110009","Michael Creutz","Michael Creutz (Brookhaven), Ivan Horv\'ath (Kentucky), and Herbert
  Neuberger (Rutgers)","A new fermion Hamiltonian for lattice gauge theory","Lattice2001(chiral), 3 pages, 4 figures","Nucl.Phys.Proc.Suppl. 106 (2002) 760-762",,,"hep-lat",,"  We formulate Hamiltonian vector-like lattice gauge theory using the overlap
formula for the spatial fermionic part, $H_f$. We define a chiral charge, $Q_5$
which commutes with $H_f$, but not with the electric field term. There is an
interesting relation between the chiral charge and the fermion energy with
consequences for chiral anomalies.
","[{""version"":""v1"",""created"":""Thu, 4 Oct 2001 18:05:39 GMT""}]","2007-05-23"
"hep-lat/0110010","Doug Toussaint","Doug Toussaint","Spectrum Results with Kogut-Susskind Quarks","6 pages, contribution to Lattice2001(plenary) figures resized,
  reference added","Nucl.Phys.Proc.Suppl. 106 (2002) 111-116",,,"hep-lat",,"  I summarize recent developments in spectrum calculations using Kogut-Susskind
quarks. Theoretical developments include one-loop computations with improved
actions. I present some recent simulation results, mostly from a MILC
collaboration project using three flavors. Effects of dynamical quarks are
clearly seen in the isovector 0++ meson propagator and in the mass ratio ``J''.
","[{""version"":""v1"",""created"":""Thu, 4 Oct 2001 21:32:36 GMT""},{""version"":""v2"",""created"":""Tue, 27 Nov 2001 20:20:36 GMT""}]","2007-05-23"
"hep-lat/0110011","Vladimir Belavin","V.A. Belavin, M.I. Polikarpov, A.I. Veselov","Anatomy of Isolated Monopole in Abelian Projection of SU(2) Lattice
  Gauge Theory","4 pages, LaTeX2e, 1 figure (epsfig)","JETP Lett. 74 (2001) 453-455; Pisma Zh.Eksp.Teor.Fiz. 74 (2001)
  508-510","10.1134/1.1434284","kanazawa 01-06","hep-lat",,"  We study the structure of the isolated static monopoles in the maximal
Abelian projection of SU(2) lattice gluodynamics. Our estimation of the
monopole radius is $ \approx 0.06 fm$.
","[{""version"":""v1"",""created"":""Fri, 5 Oct 2001 11:08:51 GMT""}]","2009-11-07"
"hep-lat/0110012","Michael Engelhardt","M. Engelhardt, M. Faber and H. Reinhardt","Center vortex model for the infrared sector of Yang-Mills theory","Lattice2001(confinement) proceedings, 3 pages, 3 ps figures","Nucl.Phys.Proc.Suppl.106:655-657,2002","10.1016/S0920-5632(01)01806-0","UNITU-THEP-27-2001","hep-lat",,"  A model for the infrared sector of SU(2) Yang-Mills theory, based on magnetic
vortices represented by (closed) random surfaces, is presented. The model
quantitatively describes both confinement (including the finite-temperature
transition to a deconfined phase) and the topological susceptibility of the
Yang-Mills ensemble. A first (quenched) study of the spectrum of the Dirac
operator furthermore yields a behavior for the chiral condensate which is
compatible with results obtained in lattice gauge theory.
","[{""version"":""v1"",""created"":""Fri, 5 Oct 2001 14:16:43 GMT""}]","2008-11-26"
"hep-lat/0110013","Helmut Satz","H. Satz","Cluster Percolation and Thermal Critical Behaviour","8 pages, 4 figures","Comput.Phys.Commun. 147 (2002) 46-51","10.1016/S0010-4655(02)00202-3","BI-TP 2001/20","hep-lat hep-ph hep-th",,"  Continuous phase transitions in spin systems can be formulated as percolation
of suitably defined clusters. We review this equivalence and then discuss how
in a similar way, the color deconfinement transition in SU(2) gauge theory can
be treated as a percolation phenomenon. In the presence of an external field,
spin systems cease to show thermal critical behavior, but the geometric
percolation transition persists (Kert\'esz line). For $H\not=0$, we study the
relation between percolation and pseudocritical behavior, both for continuous
and first order transitions, and show that it leads to the necessity of an
$H$-dependent cluster definition. A viable formulation of this kind could serve
as definition of deconfinement in QCD with dynamical quarks.
","[{""version"":""v1"",""created"":""Fri, 5 Oct 2001 15:16:32 GMT""}]","2009-11-07"
"hep-ph/0110072","Koichi Hamaguchi","Masaaki Fujii and K. Hamaguchi","Higgsino and Wino Dark Matter from Q-ball Decay in Affleck-Dine
  Baryogenesis","12 pages, LaTeX, 6 figures, version accepted for publication in PLB","Phys.Lett.B525:143-149,2002","10.1016/S0370-2693(01)01412-5",,"hep-ph",,"  We claim that the Higgsino-like and wino-like neutralinos can be good dark
matter candidates if they are produced by the late time decay of Q-ball, which
is generally formed in Affleck-Dine baryogenesis. The late time decays of the
Q-balls into these LSP's and subsequent pair annihilations of the LSP's
naturally lead to the desired mass density of dark matter. Furthermore, these
dark matter can be much more easily detected by the dark-matter search
experiments than the standard bino-like dark matter.
","[{""version"":""v1"",""created"":""Thu, 4 Oct 2001 16:37:12 GMT""},{""version"":""v2"",""created"":""Sun, 2 Dec 2001 12:45:28 GMT""}]","2008-11-26"
"hep-ph/0110073","Asaka Takehiko","T. Asaka","Affleck-Dine Leptogenesis and Low Scale Inflation","11pages, 2 eps figures","Phys.Lett. B521 (2001) 329-334","10.1016/S0370-2693(01)01237-0","DESY 01-142","hep-ph",,"  We study Affleck-Dine leptogenesis via the L H_u flat direction in
supersymmetric theories. We find that the baryon asymmetry is enhanced when the
energy scale of the inflation is sufficiently low. Especially, we consider
models of low scale inflation in which the Hubble parameter during inflation is
comparable to (but slightly larger than) the gravitino mass m_{3/2} \sim 1
\TeV. The observed cosmological baryon asymmetry is obtained with the lightest
neutrino mass m_{\nu_1} \sim 10^{-4} eV, if the reheating process is suddenly
terminated after inflation.
","[{""version"":""v1"",""created"":""Thu, 4 Oct 2001 16:34:02 GMT""}]","2009-11-07"
"hep-ph/0110074","Mustafa Savci","T. M. aliev, A. Ozpineci, M. Savci","The (Sigma_Q-Lambda_Q) transition magnetic moments in light cone QCD sum
  rules","15 pp, 6 figures (postscript formatted), LaTex formatted","Phys.Rev. D65 (2002) 096004","10.1103/PhysRevD.65.096004","metu-phys-hep-ph-01-33","hep-ph",,"  Using the general form of (Sigma_Q) and (Lambda_Q) (Q=b or c) currents,
(Sigma_Q-Lambda_Q) transition magnetic moments are calculated in framework of
the light cone QCD sum rules method. In this approach nonperturbative effects
are described by the photon wave functions and only two-particle photon wave
functions are taken into account. Our predictions on transition magnetic
moments are (mu_{Sigma_c Lambda_c} = - (1.5 pm 0.4) mu_N) and (mu_{Sigma_b
Lambda_b} = - (1.6 pm 0.4) mu_N). A comparison of our results with the ones
existing in the literature is given.
","[{""version"":""v1"",""created"":""Thu, 4 Oct 2001 18:20:36 GMT""},{""version"":""v2"",""created"":""Mon, 3 Mar 2003 17:40:26 GMT""}]","2009-11-07"
"hep-ph/0110075","John Ralston","John P. Ralston and Bernard Pire","Femto-Photography of Protons to Nuclei with Deeply Virtual Compton
  Scattering","To be published in Physical Review D. Replaces previous version with
  minor changes in presentation","Phys.Rev.D66:111501,2002","10.1103/PhysRevD.66.111501","CPHT-S038-0901","hep-ph nucl-th",,"  Developments in deeply virtual Compton scattering allow the direct
measurements of scattering amplitudes for exchange of a highly virtual photon
with fine spatial resolution. Real-space images of the target can be obtained
from this information. Spatial resolution is determined by the momentum
transfer rather than the wavelength of the detected photon. Quantum photographs
of the proton, nuclei, and other elementary particles with resolution on the
scale of a fraction of a femtometer is feasible with existing experimental
technology.
","[{""version"":""v1"",""created"":""Thu, 4 Oct 2001 19:56:02 GMT""},{""version"":""v2"",""created"":""Wed, 20 Nov 2002 23:48:22 GMT""}]","2014-11-17"
"hep-ph/0110076","Louis. Clavelli","L. Clavelli, T. Gajdosik, I. Perevalova (University of Alabama)","Parity and Time Reversal in J/Psi Decay","9 pages, 3 eps figures revised to include additional relevant
  references","Phys.Lett. B523 (2001) 249-254","10.1016/S0370-2693(01)01359-4",,"hep-ph",,"  With the prospect of large numbers of $J/\Psi$ decay events becoming
available in the near future, it is interesting to search for symmetry
violating effects as probes of new physics and tests of the standard model.
$J/\Psi$ decay events could provide the first observation of weak effects in
otherwise strongly decaying particles. We calculate a T odd asymmetry in the
$J/\Psi$ decay into photon plus lepton pair due to Z boson exchange. Extensions
to hadronic final states are also discussed.
","[{""version"":""v1"",""created"":""Thu, 4 Oct 2001 21:51:21 GMT""},{""version"":""v2"",""created"":""Tue, 9 Oct 2001 17:23:33 GMT""}]","2009-11-07"
"hep-ph/0110078","Matthias Neubert","Alexander L. Kagan (Cincinnati), Matthias Neubert (Cornell)","Isospin Breaking in B -> K^* gamma Decays","11 pages, 2 figures. Extended version to appear in Physics Letters B.
  Includes an additional section with a discussion of New Physics effects","Phys.Lett. B539 (2002) 227-234","10.1016/S0370-2693(02)02100-7","CLNS-01/1756","hep-ph",,"  A calculation of the leading isospin-breaking contributions to the B -> K^*
gamma decay amplitudes based on the QCD factorization approach is presented.
They arise at order Lambda/m_b in the heavy-quark expansion and are due to
annihilation contributions from 4-quark operators, the chromo-magnetic dipole
operator, and charm penguins. In the Standard Model the decay rate for B^0 ->
K^{*0} gamma is predicted to be about 10-20 % larger than that for B^- ->
K^{*-} gamma. Isospin-breaking effects are a sensitive probe of the penguin
sector of the effective weak Hamiltonian. New Physics models in which the
hierarchy of B -> K^* gamma decay rates is either flipped or greatly enhanced
could be ruled out with more precise data.
","[{""version"":""v1"",""created"":""Fri, 5 Oct 2001 01:39:27 GMT""},{""version"":""v2"",""created"":""Wed, 12 Jun 2002 15:25:43 GMT""}]","2014-11-17"
"hep-ph/0110079","Zhang Ailin","Zhi-yong Wang and Ailin Zhang","New interpretation to zitterbewegung","5 pages, no figures, revtex",,,,"hep-ph",,"  In previous investigations on zitterbewegung(zbw) of electron, it is believed
that the zbw results from some internal motion of electron. However, all the
analyses are made at relativistic quantum mechanical level. In framework of
quantum field theory (QFT), we find that the origin of zbw is different from
previous conclusion. Especially, some new interesting conclusions are derived
at this level: 1) the zbw arises from the rapid to-and-fro polarization of the
vacuum in the range of the Compton wavelength (divided by $4\pi$) of the
electron, which offer the four-dimensional(4D) spin and intrinsic
electromagnetic-moment tensor to the electron; 2) Any attempt that attributes
spin (rather than double the spin) of the electron to some kind of orbital
angular momentum would not be successful; 3) the macroscopic classical speed of
the Dirac vacuum medium vanish in all inertial systems.
","[{""version"":""v1"",""created"":""Fri, 5 Oct 2001 03:01:30 GMT""}]","2007-05-23"
"hep-ph/0110080","Bernard Pire","E. R. Berger, M. Diehl, B. Pire","Probing generalized parton distributions in pi N -> l+ l- N","13 pages, 5 figures","Phys.Lett.B523:265-272,2001","10.1016/S0370-2693(01)01345-4","CPHT-S037-0901, DESY-01-137","hep-ph nucl-th",,"  We study the exclusive reactions pi- p -> l+ l- n and pi+ n -> l+ l- p$ in
view of possible future experiments with high-intensity pion beams. For large
invariant mass of the lepton pair l+ l- and small squared momentum transfer to
the nucleon these are hard-scattering processes providing access to generalized
parton distributions. We estimate the cross section for these reactions,
explore their connection with the pion form factor, and discuss the role they
can play in improving our understanding of the relevant reaction mechanisms.
","[{""version"":""v1"",""created"":""Fri, 5 Oct 2001 08:18:07 GMT""}]","2008-11-26"
"hep-ph/0110081","Simona Giovannella","Frank E. Close (Oxford University)","Light Hadron Spectroscopy: Theory and Experiment","to be published in ""Lepton Photon 2001 Conference Proceedings"" (World
  Scientific Publishing), 19 pages with 6 figures","Int.J.Mod.Phys.A17:3239-3258,2002","10.1142/S0217751X02012715",,"hep-ph",,"  Rapporteur talk at the Lepton-Photon Conference, Rome, July 2001: reviewing
the evidence and strategies for understanding scalar mesons, glueballs and
hybrids, the gluonic Pomeron and the interplay of heavy flavours and light
hadron dynamics. Dedicated to the memory of Nathan Isgur, long-time
collaborator and friend, whose original ideas in hadron spectroscopy formed the
basis for much of the talk.
","[{""version"":""v1"",""created"":""Fri, 5 Oct 2001 09:33:32 GMT""}]","2008-11-26"
"hep-ph/0110082","Masaharu Iwasaki","K.Yamaguchi, M.Iwasaki, O.Miyamura","Phase transition of color-superconductivity and cooling behavior of
  quark stars","7 pages, 3 figures","Prog.Theor.Phys. 107 (2002) 117-123","10.1143/PTP.107.117",,"hep-ph",,"  We discuss the color-superconductivity and its effect on the cooling behavior
of strange quark stars. The neutrino emissivity and specific heat of quark
matter are calculated within the BCS theory. In the superconducting phase, the
emissivity decreases and causes suppression of the cooling rate. It is shown
that the phase transition leads to a sudden discontinuous suppression of the
cooling rate in cooperation with the specific heat.
","[{""version"":""v1"",""created"":""Fri, 5 Oct 2001 09:44:29 GMT""}]","2009-11-07"
"hep-ph/0110083","S. weinzierl","Sven Moch, Peter Uwer and Stefan Weinzierl","Nested Sums, Expansion of Transcendental Functions and Multi-Scale
  Multi-Loop Integrals","28 pages, minor changes","J.Math.Phys. 43 (2002) 3363-3386","10.1063/1.1471366",,"hep-ph hep-th math.QA",,"  Expansion of higher transcendental functions in a small parameter are needed
in many areas of science. For certain classes of functions this can be achieved
by algebraic means. These algebraic tools are based on nested sums and can be
formulated as algorithms suitable for an implementation on a computer.
Examples, such as expansions of generalized hypergeometric functions or Appell
functions are discussed. As a further application, we give the general solution
of a two-loop integral, the so-called C-topology, in terms of multiple nested
sums. In addition, we discuss some important properties of nested sums, in
particular we show that they satisfy a Hopf algebra.
","[{""version"":""v1"",""created"":""Fri, 5 Oct 2001 13:51:05 GMT""},{""version"":""v2"",""created"":""Mon, 25 Feb 2002 11:30:25 GMT""}]","2015-06-25"
"hep-ph/0110084","Daniele Dominici","Daniele Dominici","Degenerate BESS model at future colliders","3 pages, 2 Figs, Revtex4; to appear in the Proceedings of the
  APS/DPF/DPB Summer Study on the Future of Particle Physics (Snowmass2001)","eConf C010630:P329,2001",,"DFF-377/10/01","hep-ph",,"  A brief overview of the sensitivity of future colliders to new vector
particles from strongly interacting Higgs is presented. In particular the
capability of detecting almost degenerate resonances is reviewed.
","[{""version"":""v1"",""created"":""Fri, 5 Oct 2001 10:07:31 GMT""}]","2011-01-25"
"hep-ph/0110085","Miguel Angel Sanchis","J.L. Domenech-Garret, M.A. Sanchis-Lozano, S. Wolf (Valencia
  University)","Prospects for probing the gluon density in protons using heavy
  quarkonium hadroproduction","LaTeX, 14 pages, 6 EPS figures","J.Phys.G28:687-698,2002","10.1088/0954-3899/28/4/308","IFIC/01-54, FTUV-01-1005","hep-ph",,"  We examine carefully bottomonia hadroproduction in proton colliders,
especially focusing on the LHC, as a way of probing the gluon density in
protons. To this end we develop some previous work, getting quantitative
predictions and concluding that our proposal can be useful to perform
consistency checks of the parameterization sets of different parton
distribution functions.
","[{""version"":""v1"",""created"":""Fri, 5 Oct 2001 10:15:34 GMT""},{""version"":""v2"",""created"":""Fri, 12 Apr 2002 10:32:04 GMT""}]","2008-11-26"
"hep-ph/0110086","Robert van Gulik","F.A. Berends, R. van Gulik","Two-photon mediated resonance production in e+e- collisions: cross
  sections and density matrices","27 pages, 4 figures","Nucl.Phys. B623 (2002) 220-246","10.1016/S0550-3213(01)00619-8",,"hep-ph",,"  Earlier described model amplitudes are used in this paper to evaluate both
cross sections and density matrices for two-photon mediated resonance
production in e^+e^- collisions. All 25 q\bar{q} low-lying ^1S_0, ^3P_J and
^1D_2 resonances can thus be treated. Two independent methods are described to
obtain the resonance production density matrices and cross sections. These
density matrices combined with a resonance decay density matrix give the
detailed angular distributions of the resonance decay products. For two
particular decays, \chi_{c2},\chi_{c1}\to\gamma J/\psi the details are given.
Several numerical results are presented as well.
","[{""version"":""v1"",""created"":""Fri, 5 Oct 2001 13:31:26 GMT""}]","2009-11-07"
"hep-ph/0110087","Dimitri Melikhov","Dmitri Melikhov","Dispersion approach to quark-binding effects in weak decays of heavy
  mesons","revtex, 119 pages. Summary of changes made: In Sect. V comparison
  with the recent experimental data is added, in Sect. VI discussion of contact
  terms in B->V\gamma is extended and comments on the recent publications are
  given, in Sect. VII signs of the decay constants are brought in agreement
  with other Sections, typoes corrected","Eur.Phys.J.direct C4:2,2002","10.1007/s1010502c0002","HD-THEP-01-41 (Uni Heidelberg)","hep-ph",,"  Dispersion approach based on the constituent quark picture and its
applications to weak decays of heavy mesons are reviewed. Meson interaction
amplitudes are represented within this approach as relativistic spectral
integrals over the mass variables in terms of the meson wave functions and
spectral densities of the corresponding Feynman diagrams. Various applications
of this approach are discussed:
  Relativistic spectral representations for meson elastic and transition form
factors at spacelike momentum transfers are constructed. Form factors at
$q^2>0$ are obtained by the analytical continuation. As a result of this
procedure, form factors are given in the full $q^2$ range of the weak decay in
terms of the wave functions of the participating mesons.
  The 1/m_Q expansion of the obtained spectral representations for the form
factors for the particular limits of the heavy-to-heavy and heavy-to-light
transitions are analysed. Their full consistency with the constraints provided
by long-distance QCD for these limits is demonstrated. Predictions for form
factors for B, B(s), D, and D(s) decays to light mesons are given. The
B\to\gamma l\nu decay and the weak annihilation in rare radiative decays are
considered. Nonfactorizable corrections to the B^0-\bar B^0 mixing are
calculated. Inclusive weak B-decays are analysed and the differential
distributions are obtained in terms of the B-meson wave function.
","[{""version"":""v1"",""created"":""Fri, 5 Oct 2001 14:47:21 GMT""},{""version"":""v2"",""created"":""Thu, 20 Dec 2001 10:34:37 GMT""}]","2012-03-20"
"hep-ph/0110088","Annelies Oosterhof-Meij","Wolfram Kittel","Bose-Einstein Correlations in Z Fragmentation and Other Reactions","44 pages, 1 latex, appolb.cls, 25 eps figures, Lecture given at the
  Cracow School of Theoretical Physics, Zakopane, 2001","Acta Phys.Polon.B32:3927-3972,2001",,,"hep-ph",,"  Recent experimental studies of Bose-Einstein Correlations in Z fragmentation
are reviewed in view of the need to understand their apparent suppression for
pions originating from different W's. Particular features discussed are source
elongation, position-momentum correlation, non-Gaussian shape of the
correlator, transverse-mass dependence, density dependence and dilution,
space-time shape of the emission function, neutral-pion and genuine
higher-order correlations.
","[{""version"":""v1"",""created"":""Fri, 5 Oct 2001 15:20:45 GMT""},{""version"":""v2"",""created"":""Wed, 7 Nov 2001 14:42:58 GMT""},{""version"":""v3"",""created"":""Tue, 13 Nov 2001 09:42:09 GMT""}]","2014-11-17"
"hep-th/0110046",,"C. P. Martin (Universidad Complutense de Madrid)","The covariant form of the gauge anomaly on noncommutative R2n","18 pages, no figures","Nucl.Phys. B623 (2002) 150-164","10.1016/S0550-3213(01)00642-3","UCM-FT/00-65-2001","hep-th",,"  The covariant form of the non-Abelian gauge anomaly on noncommutative R2n is
computed for U(N) groups. Its origin and properties are analyzed. Its
connection with the consistent form of the gauge anomaly is established. We
show along the way that bi-fundamental $U(N)\times U(M)$ chiral matter carries
no mixed anomalies, and interpret this result as a consequence of the
half-dipole structure which characterizes the charged non-commutative degrees
of freedom.
","[{""version"":""v1"",""created"":""Thu, 4 Oct 2001 16:17:20 GMT""}]","2009-11-07"
"hep-th/0110047","Alexandre Grezzi de Miranda Schmidt","Alfredo T. Suzuki and Alexandre G. de M. Schmidt","Non-planar double-box, massive and massless pentabox Feynman integrals
  in negative dimensional approach","Latex, 12 pages, 2 figures, uses axodraw (included)","J.Phys.A35:151-164,2002","10.1088/0305-4470/35/1/312",,"hep-th",,"  Negative dimensional integration method (NDIM) is a technique which can be
applied, with success, in usual covariant gauge calculations. We consider three
two-loop diagrams: the scalar massless non-planar double-box with six
propagators and the scalar pentabox in two cases, where six virtual particles
have the same mass and in the case where all of them are massless. Our results
are given in terms hypergeometric functions of Mandelstam variables and for
arbitrary exponents of propagators and dimension $D$ as well.
","[{""version"":""v1"",""created"":""Thu, 4 Oct 2001 16:39:32 GMT""}]","2008-11-26"
"hep-th/0110048","Cmh","C.M. Hull","Domain Wall and de Sitter Solutions of Gauged Supergravity","References added. 20 pages","JHEP 0111:061,2001","10.1088/1126-6708/2001/11/061","QMUL-PH-01-11","hep-th",,"  BPS domain wall solutions of gauged supergravities are found, including those
theories which have non-compact gauge groups. These include models that have
both an unstable de Sitter solution and stable domain wall solutions.
","[{""version"":""v1"",""created"":""Thu, 4 Oct 2001 18:58:58 GMT""},{""version"":""v2"",""created"":""Tue, 23 Oct 2001 16:48:29 GMT""}]","2010-02-03"
"hep-th/0110049","Alan Coley","A. Coley","Dynamics of Brane-World Cosmological Models","Final version. To appear in Physical Review","Phys.Rev. D66 (2002) 023512","10.1103/PhysRevD.66.023512",,"hep-th gr-qc",,"  We show that generically the initial singularity is isotropic in spatially
homogeneous cosmological models in the brane-world scenario. We then argue that
it is plausible that the initial singularity is isotropic in typical brane
world cosmological models. Therefore, brane cosmology naturally gives rise to a
set of initial data that provide the conditions for inflation to subsequently
take place, thereby solving the initial conditions problem and leading to a
self--consistent and viable cosmology.
","[{""version"":""v1"",""created"":""Thu, 4 Oct 2001 21:01:00 GMT""},{""version"":""v2"",""created"":""Thu, 25 Apr 2002 16:14:21 GMT""}]","2009-11-07"
"hep-th/0110050","Keshav Dasgupta","Keshav Dasgupta, Kyungho Oh, Jaemo Park, Radu Tatar","Geometric Transition versus Cascading Solution","34 pages, LaTex, 2 figures; v2: Some comments added and references
  updated. Final version to appear in JHEP","JHEP 0201 (2002) 031","10.1088/1126-6708/2002/01/031","SU-ITP-01/39, HUTP-01/A044, HU-EP-01/35","hep-th",,"  We study Vafa's geometric transition and Klebanov - Strassler solution from
various points of view in M-theory. In terms of brane configurations, we show
the detailed equivalences between the two models. In some limits, both models
have an alternative realization as fourfolds in M-theory with appropriate
G-fluxes turned on. We discuss some aspects of the fourfolds including how to
see the transition and a possible extension to the non-supersymmetric case.
","[{""version"":""v1"",""created"":""Thu, 4 Oct 2001 22:10:27 GMT""},{""version"":""v2"",""created"":""Sat, 6 Oct 2001 00:44:48 GMT""},{""version"":""v3"",""created"":""Mon, 28 Jan 2002 02:25:30 GMT""}]","2009-11-07"
"hep-th/0110051","Kimball A. Milton","Kimball A. Milton, Sergei D. Odintsov, and Sergio Zerbini","Bulk versus brane running couplings","11 pages, no figures, REVTeX4","Phys.Rev.D65:065012,2002","10.1103/PhysRevD.65.065012","OKHEP-01-08","hep-th hep-ph",,"  A simplified higher dimensional Randall-Sundrum-like model in 6 dimensions is
considered. It has been observed previously by Goldberger and Wise that in such
a self-interacting scalar theory on the bulk with a conical singularity there
is mixing of renormalization of 4d brane couplings with that of the bulk
couplings. We study the influence of the running bulk couplings on the running
of the 4d brane couplings. We find that bulk quantum effects may completely
alter the running of brane couplings. In particular, the structure of the
Landau pole may be drastically altered and non-asymptotically free running may
turn into asymptotically safe (or free) behavior.
","[{""version"":""v1"",""created"":""Thu, 4 Oct 2001 22:29:37 GMT""}]","2009-09-17"
"hep-th/0110052","Oleg G. Tkachev","George Jaroszkiewicz and Vladimir Nikolaev","Temporal discretisation of the Skyrme Model","12 pages",,,,"hep-th",,"  Soliton models are used in elementary particle physics and nuclear physics to
model extended objects such as nucleons, using effective field theories derived
from more fundamental theories such as QCD. Computer simulation requires some
sort of discretisation procedure, a notable example being lattice gauge theory
applied in the imaginary time formulation.
  In this lecture we focus on simulation in real time and the problems which
arise when invariants of the motion are monitored in a simulation.
  Ad hoc discretisations invariably introduce drift in numerically computed
invariants, due not only to numerical accuracy (which can be negligible), but
with the fact that the discretisation may not necessarily imply conservation.
We discuss an approach developed which gives principles for the discretisation
of such systems and for the construction of exact discrete invariants of the
motion. This approach is applied to the Skyrme model.
  Talk at the International Workshop on Nuclear Theory, Rila, June 2001, to be
published in the Proceedings.
","[{""version"":""v1"",""created"":""Fri, 5 Oct 2001 00:58:52 GMT""}]","2007-05-23"
"hep-th/0110053","Betti Hartmann","Yves Brihaye (University of Mons, Belgium) and Betti Hartmann
  (University of Durham, United Kingdom)","The Born-Infeld Sphaleron","8 pages, 5 Postscript figures; new results on Bisphalerons added;
  minor modifications","Phys.Lett. B524 (2002) 227-232","10.1016/S0370-2693(01)01381-8",,"hep-th",,"  We study the SU(2) electroweak model in which the standard Yang-Mills
coupling is supplemented by a Born-Infeld term. The deformation of the
sphaleron and bisphaleron solutions due to the Born-Infeld term is investigated
and new branches of solutions are exhibited. Especially, we find a new branch
of solutions connecting the Born-Infeld sphaleron to the first solution of the
Kerner-Gal'tsov series.
","[{""version"":""v1"",""created"":""Fri, 5 Oct 2001 09:58:26 GMT""},{""version"":""v2"",""created"":""Wed, 31 Oct 2001 11:04:02 GMT""},{""version"":""v3"",""created"":""Mon, 19 Nov 2001 17:05:13 GMT""},{""version"":""v4"",""created"":""Mon, 19 Nov 2001 21:08:33 GMT""}]","2009-11-07"
"hep-th/0110054","Frank Saueressig","M. Reuter and F. Saueressig","Renormalization Group Flow of Quantum Gravity in the Einstein-Hilbert
  Truncation","58 pages, latex, 24 figures","Phys.Rev.D65:065016,2002","10.1103/PhysRevD.65.065016","MZ-TH/01-27","hep-th gr-qc",,"  The exact renormalization group equation for pure quantum gravity is used to
derive the non-perturbative $\Fbeta$-functions for the dimensionless Newton
constant and cosmological constant on the theory space spanned by the
Einstein-Hilbert truncation. The resulting coupled differential equations are
evaluated for a sharp cutoff function. The features of these flow equations are
compared to those found when using a smooth cutoff. The system of equations
with sharp cutoff is then solved numerically, deriving the complete
renormalization group flow of the Einstein-Hilbert truncation in $d=4$. The
resulting renormalization group trajectories are classified and their physical
relevance is discussed. The non-trivial fixed point which, if present in the
exact theory, might render Quantum Einstein Gravity nonperturbatively
renormalizable is investigated for various spacetime dimensionalities.
","[{""version"":""v1"",""created"":""Fri, 5 Oct 2001 13:25:36 GMT""}]","2010-04-06"
"hep-th/0110055","Stefan Foerste","Stefan Forste","Strings, Branes and Extra Dimensions","238 pages, latex (latex master.tex), references added","Fortsch.Phys. 50 (2002) 221-403","10.1002/1521-3978(200203)50:3/4<221::AID-PROP221>3.0.CO;2-P",,"hep-th hep-ph",,"  This review is devoted to strings and branes. Firstly, perturbative string
theory is introduced. The appearance of various types of branes is discussed.
These include orbifold fixed planes, D-branes and orientifold planes. The
connection to BPS vacua of supergravity is presented afterwards. As
applications, we outline the role of branes in string dualities, field theory
dualities, the AdS/CFT correspondence and scenarios where the string scale is
at a TeV. Some issues of warped compactifications are also addressed. These
comprise corrections to gravitational interactions as well as the cosmological
constant problem.
","[{""version"":""v1"",""created"":""Fri, 5 Oct 2001 14:00:44 GMT""},{""version"":""v2"",""created"":""Thu, 18 Oct 2001 12:21:52 GMT""},{""version"":""v3"",""created"":""Thu, 3 Jan 2002 14:08:23 GMT""}]","2015-06-26"
"math/0110056","Alexander Burstein","Alexander Burstein, Toufik Mansour","Words restricted by patterns with at most 2 distinct letters","15 pages, LaTeX2e",,,,"math.CO",,"  We find generating functions for the number of words avoiding certain
patterns or sets of patterns on at most 2 distinct letters and determine which
of them are equally avoided. We also find the exact number of words avoiding
certain patterns and provide bijective proofs for the resulting formulas.
","[{""version"":""v1"",""created"":""Thu, 4 Oct 2001 19:48:01 GMT""}]","2007-05-23"
