"astro-ph/0104162","Alessandro Melchiorri","Rachel Bean, Steen H. Hansen, Alessandro Melchiorri","Early-universe constraints on a Primordial Scaling Field","5 pages, 4 figures. The revised version includes the new Boomerang
  and DASI data","Phys.Rev.D64:103508,2001","10.1103/PhysRevD.64.103508",,"astro-ph hep-ph",,"  In the past years 'quintessence' models have been considered which can
produce the accelerated expansion in the universe suggested by recent
astronomical observations. One of the key differences between quintessence and
a cosmological constant is that the energy density in quintessence,
$\Omega_\phi$, could be a significant fraction of the overall energy even in
the early universe, while the cosmological constant will be dynamically
relevant only at late times. We use standard Big Bang Nucleosynthesis and the
observed abundances of primordial nuclides to put constraints on $\Omega_\phi$
at temperatures near $T \sim 1MeV$. We point out that current experimental data
does not support the presence of such a field, providing the strong constraint
$\Omega_\phi(MeV) < 0.045$ at $2\sigma$ C.L. and strengthening previous
results. We also consider the effect a scaling field has on CMB anisotropies
using the recent data from Boomerang and DASI, providing the CMB constraint
$\Omega_\phi \le 0.39$ at $2\sigma$ during the radiation dominated epoch.
","[{""version"":""v1"",""created"":""Tue, 10 Apr 2001 20:56:53 GMT""},{""version"":""v2"",""created"":""Mon, 28 May 2001 08:12:50 GMT""}]","2014-10-13"
"hep-th/0104097","Raimar Wulkenhaar","Andreas Bichl, Jesper Grimstrup, Harald Grosse, Lukas Popp, Manfred
  Schweda, Raimar Wulkenhaar (Vienna)","Renormalization of the noncommutative photon self-energy to all orders
  via Seiberg-Witten map","12 pages, LaTeX2e. v3: added references, changed title. The general
  renormalizability proof for noncommutative Maxwell theory turned out to be
  incomplete, therefore, we have to restrict the proof to the noncommutative
  photon self-energy","JHEP 0106 (2001) 013","10.1088/1126-6708/2001/06/013","UWThPh-2001-17, TUW-01-012","hep-th",,"  We show that the photon self-energy in quantum electrodynamics on
noncommutative $\mathbb{R}^4$ is renormalizable to all orders (both in $\theta$
and $\hbar$) when using the Seiberg-Witten map. This is due to the enormous
freedom in the Seiberg-Witten map which represents field redefinitions and
generates all those gauge invariant terms in the $\theta$-deformed classical
action which are necessary to compensate the divergences coming from loop
integrations.
","[{""version"":""v1"",""created"":""Tue, 10 Apr 2001 19:03:25 GMT""},{""version"":""v2"",""created"":""Tue, 17 Apr 2001 17:07:35 GMT""},{""version"":""v3"",""created"":""Wed, 25 Apr 2001 15:42:52 GMT""}]","2009-11-07"
"hep-th/0104098","Clovis Wotzasek","D. Bazeia, A. Ilha, J. R. S. Nascimento, R. F. Ribeiro and C. Wotzasek","On the dual equivalence of the Born-Infeld-Chern-Simons model coupled to
  dynamical U(1) charged matter","RevteX file, 6 pages, no figures; acknowledgements corrected, version
  to appear in Physics Letters B","Phys.Lett. B510 (2001) 329-334","10.1016/S0370-2693(01)00597-4",,"hep-th",,"  We study the equivalence between a nonlinear self-dual model (NSD) with the
Born-Infeld-Chern-Simons (BICS) models using an iterative gauge embedding
procedure that produces the duality mapping, including the case where the NSD
model is minimally coupled to dynamical, U(1) charged fermionic matter. The
duality mapping introduces a current-current interaction term while at the same
time the minimal coupling of the original nonlinear self-dual model is replaced
by a non-minimal magnetic like coupling in the BICS side.
","[{""version"":""v1"",""created"":""Tue, 10 Apr 2001 21:14:14 GMT""},{""version"":""v2"",""created"":""Thu, 12 Apr 2001 17:09:27 GMT""},{""version"":""v3"",""created"":""Tue, 8 May 2001 14:40:57 GMT""}]","2009-11-07"
"hep-th/0104099","Yi Yang","K. S. Viswanathan, Y. Yang (Simon Fraser University)","Tachyon Condensation and Background Independent Superstring Field Theory","22 pages, LaTex","Phys.Rev. D64 (2001) 106007","10.1103/PhysRevD.64.106007",,"hep-th",,"  We study quantum corrections at the one loop level in open superstring
tachyon condensation using the boundary string field theory (BSFT) method. We
find that the tachyon field action has the same form as at the disc level, but
with a renormalized effective coupling $\lambda' =g_s^{ren}e^{-T^2/4}$
($g_s^{ren}$ is the renormalized dimensionless closed string coupling,
$e^{-T^2/4}$ is the tachyonic field expectation value) and with an effective
string tension. This result is in agreement with that based on general analysis
of loop effects.
","[{""version"":""v1"",""created"":""Tue, 10 Apr 2001 21:30:06 GMT""},{""version"":""v2"",""created"":""Tue, 29 May 2001 19:35:55 GMT""}]","2009-11-07"
"hep-th/0104100","Simeon Hellerman","Simeon Hellerman and John McGreevy","Linear sigma model toolshed for D-brane physics","21 pages; v.2: added appendix and refs, fixed typos","JHEP 0110:002,2001","10.1088/1126-6708/2001/10/002","SU-ITP-01/19","hep-th",,"  Building on earlier work, we construct linear sigma models for strings on
curved spaces in the presence of branes. Our models include an extremely
general class of brane-worldvolume gauge field configurations. We explain in an
accessible manner the mathematical ideas which suggest appropriate worldsheet
interactions for generating a given open string background. This construction
provides an explanation for the appearance of the derived category in D-brane
physics complementary to that of recent work of Douglas.
","[{""version"":""v1"",""created"":""Tue, 10 Apr 2001 22:59:27 GMT""},{""version"":""v2"",""created"":""Fri, 21 Sep 2001 18:37:51 GMT""}]","2010-02-03"
"hep-th/0104101","W. F. Kao","Chiang-Mei Chen and W.F. Kao","Stability Analysis of Anisotropic Inflationary Cosmology","8 pages, some comment added","Phys.Rev. D64 (2001) 124019","10.1103/PhysRevD.64.124019",,"hep-th gr-qc",,"  The stability analysis of an anisotropic inflationary universe of the four
dimensional Neveu-Schwarz--Neveu-Schwarz string model with a nonvanishing
cosmological constant is discussed in this paper. The accelerating expansion
solution found earlier is shown to be stable against the perturbations with
respect to the dilaton and axion fields once the dilaton field falls close to
the local minimum of the symmetry-breaking potential. This indicates that the
Bianchi I space tends to evolve to an isotropic flat Friedmann-Robertson-Walker
space. This expanding solution is also shown to be stable against the
perturbation with respect to anisotropic spatial directions.
","[{""version"":""v1"",""created"":""Wed, 11 Apr 2001 13:21:11 GMT""},{""version"":""v2"",""created"":""Wed, 25 Jul 2001 09:56:58 GMT""}]","2009-11-07"
"hep-th/0104103","Iofa","M.Z.Iofa","Magnetic Black Holes in String Theory","LaTeX, 10 pages, Contribution to the Memorial Volume dedicated to
  Professor E.S.Fradkin",,,,"hep-th",,"  We discuss the form of the string-loop-corrected effective action and the
loop-corrected solutions of the equations of motion. At the string-tree level,
a solution we consider is the extremal magnetic black hole, in which case the
tree-level effective gauge couplings decrease at small r, and in this region
string-loop corrections to the gauge couplings become important. The effective
4D theory is the N=2 supergravity interacting with matter. Using the N=2
structure of the theory, we calculate the loop corrections to the effective
action and solve the loop-corrected equations of motion. In the resulting
perturbative solution for the metric, singularity at the origin is smeared by
quantum effects.
","[{""version"":""v1"",""created"":""Wed, 11 Apr 2001 11:11:48 GMT""}]","2007-05-23"
"hep-th/0104104","J. W. van Holten","T.S. Nyawelo, J.W. van Holten and S. Groot Nibbelink","Superhydrodynamics","5 pages, revtex","Phys.Rev.D64:021701,2001","10.1103/PhysRevD.64.021701","NIKHEF/2001-005","hep-th gr-qc physics.flu-dyn",,"  We present a covariant and supersymmetric theory of relativistic
hydrodynamics in four-dimensional Minkowski space.
","[{""version"":""v1"",""created"":""Wed, 11 Apr 2001 13:07:49 GMT""}]","2009-12-31"
"hep-th/0104105","J. B. Gutowski","J. Gutowski, G. Papadopoulos","Moduli Spaces and Brane Solitons for M-Theory Compactifications on
  Holonomy G_2 Manifolds","44 pages, phyzzx. Typos corrected in appendix","Nucl.Phys.B615:237-265,2001","10.1016/S0550-3213(01)00419-9","QMUL-PH-01-02","hep-th math.DG",,"  We investigate the local geometry on the moduli space of G_2 structures that
arises in compactifications of M-theory on holonomy G_2 manifolds. In
particular, we determine the homogeneity properties of couplings of the
associated N=1, D=4 supergravity under the scaling of moduli space coordinates.
We then find some brane solitons of N=1, D=4 supergravity that are associated
with wrapping M-branes on cycles of the compact space. These include cosmic
strings and domain walls that preserve half of supersymmetry of the
four-dimensional theory, and non-supersymmetric electrically and magnetically
charged black holes. The geometry of some of the black holes is that of
non-extreme M-brane configurations reduced to four-dimensions on a seven torus.
","[{""version"":""v1"",""created"":""Wed, 11 Apr 2001 13:29:47 GMT""},{""version"":""v2"",""created"":""Sun, 27 May 2001 11:01:23 GMT""},{""version"":""v3"",""created"":""Thu, 1 Nov 2001 16:31:50 GMT""}]","2010-05-28"
"math-ph/0104014","Mikhail Sheftel","M.B. Sheftel","Group analysis of hydrodynamic-type systems","55 pages",,,,"math-ph math.MP",,"  We study point and higher symmetries for the hydrodynamic-type systems with
two independent variables $t$ and $x$ with and without explicit dependence of
the equations on $t,x$. We consider those systems which possess an
infinite-dimensional group of the hydrodynamic symmetries, establish existence
conditions for this property and, using it, derive linearizing transformations
for these systems. The recursion operators for symmetries are obtained and used
for constructing infinite series of exact solutions of the studied equations.
Higher symmetries, i.e. the Lie-Backlund transformation groups, are also
studied and the interrelation between the existence conditions for higher
symmetries and recursion operators is established. More complete results are
obtained for two-component systems, though $n$-component systems are also
studied. In particular, we consider Hamiltonian and semi-Hamiltonian systems.
","[{""version"":""v1"",""created"":""Wed, 11 Apr 2001 07:41:17 GMT""}]","2007-05-23"
"math-ph/0104016","Nikolai Kitanine","N. Kitanine","Correlation functions of the higher spin XXX chains","LaTeX, 23 pages, replaced with a revised version","J.Phys.A34:8151,2001","10.1088/0305-4470/34/39/314",,"math-ph cond-mat.stat-mech hep-th math.MP nlin.SI",,"  Using the Algebraic Bethe Ansatz we consider the correlation functions of the
integrable higher spin chains. We apply a method recently developed for the
spin $\frac 12$ Heisenberg chain, based on the solution of the quantum inverse
problem. We construct a representation for the correlation functions on a
finite chain for arbitrary spin. Then we show how the string solutions of the
Bethe equations can be considered in the framework of this approach in the
thermodynamic limit. Finally, a multiple integral representation for the spin 1
zero temperature correlation functions is obtained in the thermodynamic limit.
","[{""version"":""v1"",""created"":""Wed, 11 Apr 2001 14:09:24 GMT""},{""version"":""v2"",""created"":""Wed, 18 Apr 2001 17:33:10 GMT""},{""version"":""v3"",""created"":""Sat, 21 Apr 2001 18:34:55 GMT""},{""version"":""v4"",""created"":""Tue, 31 Jul 2001 11:13:21 GMT""}]","2014-11-18"
"math/0104113","Alexander Soshnikov","Alexander Soshnikov","A note on universality of the distribution of the largest eigenvalues in
  certain sample covariance matrices","This is a preliminary version. Minor misprints are corrected",,,"UC Davis Math 2001-4","math.PR math-ph math.MP",,"  Recently Johansson and Johnstone proved that the distribution of the
(properly rescaled) largest principal component of the complex (real) Wishart
matrix $ X^* \* X (X^t \*X) $ converges to the Tracy-Widom law as $ n, p $ (the
dimensions of $ X $) tend to $ \infty $ in some ratio $ n/p \to \gamma>0. $ We
extend these results in two directions. First of all, we prove that the joint
distribution of the first, second, third, etc. eigenvalues of a Wishart matrix
converges (after a proper rescaling) to the Tracy-Widom distribution. Second of
all, we explain how the combinatorial machinery developed for Wigner matrices
allows to extend the results by Johansson and Johnstone to the case of $ X $
with non-Gaussian entries, provided $ n-p =O(p^{1/3}) . $ We also prove that $
\lambda_{max} \leq (n^{1/2}+p^{1/2})^2 +O(p^{1/2}\*\log(p)) $ (a.e.) for
general $ \gamma >0.$
","[{""version"":""v1"",""created"":""Tue, 10 Apr 2001 17:47:39 GMT""},{""version"":""v2"",""created"":""Mon, 25 Jun 2001 20:11:08 GMT""}]","2007-05-23"
"math/0104114","Roman Bezrukavnikov","Roman Bezrukavnikov, Alexander Braverman, Leonid Positselskii","Gluing of abelian categories and differential operators on the basic
  affine space","14 pages","Journ. Inst. Math. Jussieu 1 #4 (2002) 543-557","10.1017/S1474748002000154",,"math.RT math.AG",,"  The notion of gluing of abelian categories was introduced by Kazhdan and
Laumon in an attempt of another geometric construction of representations of
finite Chevalley groups; the approach was later developed by Polishchuk and
Braverman. We observe that this notion of gluing is a particular case of a
general categorical construction (used also by Kontsevich and Rosenberg to
define ""noncommutative schemes""). We prove a conjecture of Kazhdan which says
that the D-module counterpart of the Kazhdan-Laumon gluing construction
produces a category equivalent to modules over the ring $\mathcal D$ of global
differential operators on the basic affine space. As an application we show
that $\mathcal D$ is Noetherian, and has finite injective dimension as a module
over itself.
","[{""version"":""v1"",""created"":""Tue, 10 Apr 2001 16:31:50 GMT""}]","2009-09-04"
"math/0104115","Noam D. Elkies","Noam D. Elkies","Excellent nonlinear codes from modular curves","Accepted for STOC-'01; 10 single-spaced twocolumn pages",,,,"math.NT cs.IT math.AG math.IT",,"  We introduce a new construction of error-correcting codes from algebraic
curves over finite fields. Modular curves of genus g -> infty over a field of
size q0^2 yield nonlinear codes more efficient than the linear Goppa codes
obtained from the same curves. These new codes now have the highest asymptotic
transmission rates known for certain ranges of alphabet size and error rate.
Both the theory and possible practical use of these new record codes require
the development of new tools. On the theoretical side, establishing the
transmission rate depends on an error estimate for a theorem of Schanuel
applied to the function field of an asymptotically optimal curve. On the
computational side, actual use of the codes will hinge on the solution of new
problems in the computational algebraic geometry of curves.
","[{""version"":""v1"",""created"":""Tue, 10 Apr 2001 19:59:34 GMT""}]","2007-07-16"
"math/0104116","Romyar Sharifi","Romyar T. Sharifi","Relationships between conjectures on the structure of pro-p Galois
  groups unramified outside p","Removes the assumption of Vandiver's conjecture in several of the
  results. Also includes some minor corrections and additional comments","Proc. Sympos. Pure Math. 70 (2002) 275-284",,,"math.NT math.AG",,"  We consider the canonical representation of the absolute Galois group of the
rational numbers in the outer automorphism group of the pro-p completion of the
fundamental group of the projective line minus 0,1, and infinity. Deligne has
conjectured that a certain graded Z_p-Lie algebra arising from this
representation becomes a free p-adic Lie algebra on one element in each odd
degree starting with 3 when tensored with the Q_p. We construct good choices of
these elements and use them to examine the structure of the Z_p-Lie algebra. In
particular, we consider how its structure depends upon the regularity of the
prime p by examining a consequence of Greenberg's conjecture in multivariable
Iwasawa theory.
","[{""version"":""v1"",""created"":""Tue, 10 Apr 2001 22:42:10 GMT""},{""version"":""v2"",""created"":""Wed, 3 Oct 2001 23:07:05 GMT""}]","2007-05-23"
"math/0104117","Nikolay N. Tyurin","Nik. Tyurin","The space of hermitian triples and the Ashtekar - Isham quantization","6 pages AMStex without figures",,,,"math.DG",,"  It was pointed out that the space of hermitian triples is an anology of the
hermitian connection space. Generalizing the Ashtekar - Isham procedure one can
quantize the space of hermitian triples as well as the original one. Here we
add an example how this similarity can be exploited in a quantum theory of
riemannian geometry.
","[{""version"":""v1"",""created"":""Wed, 11 Apr 2001 02:27:56 GMT""}]","2007-05-23"
"math/0104118","Boris D. Lubachevsky","Boris D. Lubachevsky","The Structure of the Inverse to the Sylvester Resultant Matrix","11 pages","Linear Algebra and Its Applications 85:191-202 (1987)",,"formerly math.LA/0104118","math.RA",,"  Given polynomials a(z) of degree m and b(z) of degree n, we represent the
inverse to the Sylvester resultant matrix of a(z) and b(z), if this inverse
exists, as a canonical sum of m+n dyadic matrices each of which is a rational
function of zeros of a(z) and b(z). As a result, we obtain the polynomial
solutions X(z) of degree n-1 and Y(z) of degree m-1 to the equation
a(z)X(z)+b(z)Y(z)=c(z), where c(z) is a given polynomial of degree m+n-1, as
follows: X(z) is a Lagrange interpolation polynomial for the function c(z)/a(z)
over the set of zeros of b(z) and Y(z) is the one for the function c(z)/b(z)
over the set of zeros of a(z).
","[{""version"":""v1"",""created"":""Wed, 11 Apr 2001 02:49:56 GMT""}]","2007-05-23"
"math/0104119","Nigel Kalton","T. Bermudez and N.J. Kalton","The range of operators on von Neumann algebras","8 pages",,,,"math.OA",,"  We prove that for every bounded linear operator $T:X\to X$, where $X$ is a
non-reflexive quotient of a von Neumann algebra, the point spectrum of $T^*$ is
non-empty (i.e. for some $\lambda\in\mathbb C$ the operator $\lambda I-T$ fails
to have dense range.) In particular, and as an application, we obtain that such
a space cannot support a topologically transitive operator.
","[{""version"":""v1"",""created"":""Wed, 11 Apr 2001 03:53:00 GMT""}]","2007-05-23"
"math/0104120","Nigel Kalton","N.J. Kalton and A.E. Litvak","Quotients of finite-dimensional quasi-normed spaces","13 pages",,,,"math.FA",,"  We study the existence of cubic quotients of finite-dimensional quasi-normed
spaces, that is, quotients well isomorphic to $\ell_{\infty}^k$ for some $k.$
We give two results of this nature. The first guarantees a proportional
dimensional cubic quotient when the envelope is cubic; the second gives an
estimate for the size of a cubic quotient in terms of a measure of
non-convexity of the quasi-norm.
","[{""version"":""v1"",""created"":""Wed, 11 Apr 2001 04:01:20 GMT""}]","2007-05-23"
"math/0104121","Heike Pahlisch","Thomas Friedrich (Berlin) and Klaus-Dieter Kirchberg (Berlin)","Eigenvalue estimates of the Dirac operator depending on the Ricci tensor","Latex2.09, 15 pages",,,,"math.DG",,"  We prove a new lower bound for the first eigenvalue of the Dirac operator on
a compact Riemannian spin manifold by refined Weitzenb\""ock techniques. It
applies to manifolds with harmonic curvature tensor and depends on the Ricci
tensor. Examples show how it behaves compared to other known bounds.
","[{""version"":""v1"",""created"":""Wed, 11 Apr 2001 08:46:03 GMT""}]","2007-05-23"
"math/0104122","Janusz Grabowski","J.Grabowski and G.Marmo","Non-antisymmetric versions of Nambu-Poisson and Lie algebroids","LaTex, 8 pages","J. Phys. A: Math. Gen. 34 (2001), 3803-3809.","10.1088/0305-4470/34/18/308",,"math.DG math.RA",,"  We show that one can skip the skew-symmetry assumption in the definition of
Nambu-Poisson brackets. In other words, a n-ary bracket on the algebra of
smooth functions which satisfies the Leibniz rule and a n-ary version of the
Jacobi identity must be skew-symmetric. A similar result holds for a
non-antisymmetric version of Lie algebroids.
","[{""version"":""v1"",""created"":""Wed, 11 Apr 2001 09:05:51 GMT""}]","2009-11-07"
"math/0104123","John C. Wood","John C. Wood","Jacobi fields along harmonic maps","Latex 2e,16 pages, Paper presented at the Mathematical Society of
  Japan 9th International Research Institute: `Integrable Systems in
  Differential Geometry', 17-21 July 2000, University of Tokyo",,,"University of Leeds, 2001 preprint series, no. 10","math.DG",,"  We show that Jacobi fields along harmonic maps between suitable spaces
preserve conformality, holomorphicity, real isotropy and complex isotropy to
first order; this last being one of the key tools in the proof by Lemaire and
the author of integrability of Jacobi fields along harmonic maps from the
2-sphere to the complex projective plane.
","[{""version"":""v1"",""created"":""Wed, 11 Apr 2001 13:11:53 GMT""}]","2007-05-23"
"math/0104124","Claudio Arezzo","C. Arezzo (Parma, It), G.P. Pirola (Pavia, It), M. Solci (Pavia, It)","The Weierstrass representation for pluriminimal submanifolds","10 pages",,,,"math.DG math.AG",,"  In this note we prove a Weierstrass representation formula for pluriminimal
submanifolds of euclidean spaces. We use this formula to produce new families
of examples of pluriminimal submanifolds. We also prove that any affine
algebraic manifold can be pluriminimally embedded into some euclidean space in
a non holomorphic manner.
","[{""version"":""v1"",""created"":""Wed, 11 Apr 2001 15:51:23 GMT""}]","2007-05-23"
"nlin/0104032","Mikhail M. Bogdan","Mikhail M. Bogdan, Mikhail I. Kobets, Eugene N.Khats'ko","Chaotic regimes of antiferromagnetic resonance in a
  quasi-two-dimensional easy-axis antiferromagnet (NH_3)_2 (CH_2)_4 MnCl_4","LaTeX, 25 pages, 12 GIF figures, the paper was published in
  Fiz.Nizk.Temp. (in Russian), Low Temperature Physics (in English) in March,
  1999","Fiz.Nizk.Temp.V.25, N3, pp.263-276 (1999)(in Russian), Low
  Temperature Physics, V.25, N3,pp.192-202 (1999)(in English)",,,"nlin.CD",,"  Chaotic regimes of the microwave energy absorption are experimentally
observed and analyzed for two-dimensional metallorganic antiferromagnet
(NH_3)_2(CH_2)_4MnCl_4 at low temperatures under the conditions of nonlinear
antiferromagnetic resonance. Relaxation oscillations of energy absorption are
investigated in detail. Their frequency spectra, frequency-amplitude
characteristics, and dependences of absorbed power on driving power and static
magnetic field are studied. It is shown that the dynamics of relaxation
oscillations undergoes a transition to chaos by ""irregular periods"".
Peculiarities of the transition are described consistently. Among other things,
the conditions for the emergence of energy absorption regimes with a spike-like
and a saw-tooth signal structure are determined, and the characteristics of
chaotic oscillations such as the dimensions of strange attractors are
calculated. The chaotic dynamics is found to be high-dimensional with a large
contribution from noise which is of deterministic origin in the antiferromagnet
under investigation.
","[{""version"":""v1"",""created"":""Wed, 11 Apr 2001 15:16:30 GMT""}]","2007-05-23"
"nucl-ex/0104010","Craig Ogilvie","C.A. Ogilvie","Review of Nuclear Reactions at the AGS","10 pages, 15 figures, quark matter 2001 proceedings","Nucl.Phys. A698 (2002) 3-12","10.1016/S0375-9474(01)01343-4",,"nucl-ex",,"  Results from p+A and A+A collisions from the beam energies 2-18 AGeV/c are
reviewed with emphasis on the properties of dense hadronic matter, and its
implications for claims that a new state of matter has been formed at the SPS.
","[{""version"":""v1"",""created"":""Tue, 10 Apr 2001 17:16:29 GMT""}]","2009-11-07"
"nucl-th/0104035","Levai Peter","P. Levai, G. Papp, G. Fai, M. Gyulassy, G.G. Barnafoldi, I. Vitev, Y.
  Zhang","Discovery of Jet Quenching at RHIC and the Opacity of the Produced Gluon
  Plasma","Talk at the conference Quark Matter'2001, 4 pages in Latex, 4 EPS
  figures, to appear in Nuclear Physics A","Nucl.Phys.A698:631-634,2002","10.1016/S0375-9474(01)01445-2",,"nucl-th",,"  The predicted quenching of jets in A+A at RHIC energies has been discovered
by STAR and PHENIX in preliminary data reported at this conference. We apply
the GLV theory of QCD radiative energy loss to estimate the opacity,
L/\lambda_g, of the gluon plasma produced in Au+Au collisions at 130 AGeV. We
show that (in contrast to the factor of two Cronin enhancement of \pi^0 found
at the SPS by WA98) the factor of 5-8 suppression of p_T \sim 2-4 GeV \pi^0
reported by PHENIX can be accounted for with an effective static plasma opacity
L/\lambda_g \approx 3-4.
","[{""version"":""v1"",""created"":""Tue, 10 Apr 2001 16:53:44 GMT""}]","2009-10-09"
"nucl-th/0104036","Jacek Dobaczewski","W. Urban, J.C. Bacelar, and J. Nyberg","Fast nuclear rotation and octupole deformation","Invited talk at ""High Spin Physics 2001"", see
  http://www.fuw.edu.pl/~hs2001/ , to be published in Acta Physica Polonica B","Acta Phys.Polon. B32 (2001) 2527-2536",,,"nucl-th",,"  The 150Sm nucleus has been studied to high spins in a measurement of gamma
radiation following the 136Xe(18O,4n)150Sm, compound-nucleus reaction at beam
energy of 76 MeV. The measurement was performed at NBI Riso using the NORDBALL
array. Alternating parity, s=+1 band in 150Sm has been observed up to spin
I=22. This band is crossed by two aligned bands, corresponding to a
reflection-symmetric shape. After the second crossing the s=+1 band ends
abruptly, suggesting that the octupole shape vanishes in 150Sm above spin I=22,
as predicted by calculations. Other explanations, assuming continuation of the
s=+1 band past the two alignments are also discussed.
","[{""version"":""v1"",""created"":""Wed, 11 Apr 2001 08:11:18 GMT""}]","2007-05-23"
"nucl-th/0104037","Dr. F. A. Ivanyuk","F.A.Ivanyuk and S.Yamaji","The Effect of Nuclear Rotation on the Collective Transport Coefficients","16 pages, 5 eps figures, Latex, submitted to Nucl.Phys.A","Nucl.Phys. A694 (2001) 295-311","10.1016/S0375-9474(01)00990-3",,"nucl-th",,"  We have examined the influence of rotation on the potential energy and the
transport coefficients of the collective motion (friction and mass
coefficients). For axially symmetric deformation of nucleus Th-224 we have
found that at excitations corresponding to temperatures T > 1 MeV the shell
correction to the liquid drop energy practically does not depend on the angular
rotation. The friction and mass coefficients obtained within the linear
response theory for the same nucleus at temperatures larger than T=2 MeV are
rather stable with respect to rotation provided that the contributions from
spurious states arising due to the violation of rotation symmetry are removed.
At smaller excitations both friction and mass parameters corresponding to the
elongation mode are growing functions of rotational frequency.
","[{""version"":""v1"",""created"":""Wed, 11 Apr 2001 08:49:26 GMT""}]","2009-11-07"
"nucl-th/0104038","Dario Hrupec","S. Ceci, D. Hrupec, A. Svarc","The importance of the nucleon-nucleon correlations for the eta alpha
  S-wave scattering length, and the pi-eta mixing angle in the low-energy eta
  alpha scattering length model","8 pages, 2 figures","J.Phys. G25 (1999) L35-L41","10.1088/0954-3899/25/6/101",,"nucl-th",,"  Using the new set of dd --> eta alpha near threshold experimental data, the
estimate of the importance of the nucleon-nucleon correlations for the eta
alpha S-wave scattering length in the multiple scattering theory is obtained
using the low-energy scattering length model. The contribution turns out to be
much bigger then previously believed. The pi-eta mixing angle is extracted
using the experimental data on the dd --> eta alpha and dd --> pi alpha
processes. The model is dominated by the subthreshold extrapolation recipe for
the eta alpha scattering amplitudes. When the recipe is chosen the model is
completely insensitive to the eta alpha parameters for the subthreshold value
of the eta cm momentum of p_{eta}^2 = -(0.46)^2 fm^{-2}. Provided that the
subthreshold extrapolation recipe is correct, a good estimate of the pi-eta
mixing angle is obtained, if the experimental cross sections for the dd --> pi
alpha reaction at the corresponding deuteron input energy are taken from the
literature.
","[{""version"":""v1"",""created"":""Wed, 11 Apr 2001 12:14:50 GMT""},{""version"":""v2"",""created"":""Thu, 12 Apr 2001 00:01:18 GMT""}]","2009-11-07"
"physics/0104039","Leonid Ya. Kobelev","L.Ya.Kobelev","About Small Corrections to General Relativity: Gravitational
  Acceleration Depands of the Accelereted Bodies Masses","LaTeX",,,,"physics.gen-ph",,"  In the frame of multifractal theory of time and space (in this model our
universe is consisting of real time and space fields and is the multifractal
universe) in the works [1]-[16] some problems were analyzed: how the fractional
dimensions of real fields of time and space influence on behavior of different
physical phenomena. In this paper it is shown that in the multifractal theory
of time and space the corrections of general relativity to Newton gravitational
forces are explaining very simple in Newton approach. It is shown also that
there is dependence (though very small) of bodies gravitational acceleration
from their masses, so the principle of equivalence in multifractal universe is
not absolute and it is only a very good approach. For perihelion of Mercury
rotation the correction to known results of Einstein relativity is consi-
dered. CONTENTS: 1. Introduction; 2. Newton Equations in the Multifractal
Universe; 3. Is Gravitational Acceleration Depends of the Mass of the
Accelerated Body? 4. Experimental Checking; 5. Conclusions
","[{""version"":""v1"",""created"":""Wed, 11 Apr 2001 11:38:48 GMT""}]","2007-05-23"
"physics/0104040","Leonid Ya. Kobelev","L.Ya.Kobelev","Newton Equations May be Treated as Diffusion Equations in the Real Time
  and Space Fields of Multifractal Universe (Masses are Diffusion Coefficients
  of Diffusion-like Equations)","LaTex",,,,"physics.gen-ph",,"  In thirties years of last century Dirac proposed to treat Schrodinger
equation as the equation of diffusion with imaginary diffusion coefficient. In
the frame of multifractal theory of time and space (in this model our the
multifractal universe is consisting of real time and space fields) in the works
[1]-[16] was analyzed how the fractional dimensions of real fields of time and
space influence on behavior of different physical phenomena. In this paper the
Newton equations of the multifractal universe (considered for the first time in
[1]-[3]) are generalized and is treated as the equations of diffusion with mass
of bodies (depending of fractional dimension of place, where these bodies
located) as a coefficient of diffusion. The realization of this point of view
for inhomogeneous time equations (the analogies of Newton equations) is carried
out too. The last leads to introducing of new sort of masses: the masses that
characterize the inertia of inhomogeneous time flows with space coordinates
changing. CONTENTS: 1. Introduction;2. Newton Equations in the Multifractal
Universe; 3. Generalized Newton Equations and Its Diffusion Interpretation; 4.
Generalized Inhomogeneous Time Equation and Its Diffusion Interpretation; 5.
Conclusions
","[{""version"":""v1"",""created"":""Wed, 11 Apr 2001 12:29:58 GMT""}]","2007-05-23"
"quant-ph/0104052","Sergio De Filippo","Sergio De Filippo","Emergence of classicality in non relativistic quantum mechanics through
  gravitational self-interaction",,,,,"quant-ph gr-qc",,"  An explicit dynamical model for non relativistic quantum mechanics with an
effective gravitational interaction is proposed, which, as being well defined,
allows in principle for the evaluation of every physical quantity. Its non
unitary dynamics results from a unitary one in a space with twice as many
degrees of freedom as the ordinary ones. It exhibits a threshold for the
emergence of classical behavior for bodies of ordinary density on rather long
times or instantaneously, respectively at around 10^11 or 10^20 proton masses.
","[{""version"":""v1"",""created"":""Tue, 10 Apr 2001 18:38:44 GMT""}]","2007-05-23"
