"astro-ph/0111551","Hector DE Vega","H. J. de Vega, J. A. Siebert","Statistical Mechanics of the Self-gravitating gas with two or more kinds
  of Particles","LaTex, 29 pages, 11 .ps figures, expanded version to appear in Phys.
  Rev. E","Phys.Rev. E66 (2002) 016112","10.1103/PhysRevE.66.016112","LPTHE/01-72","astro-ph cond-mat hep-th",,"  We study the statistical mechanics of the self-gravitating gas at thermal
equilibrium with two kinds of particles. We start from the partition function
in the canonical ensemble which we express as a functional integral over the
densities of the two kinds of particles for a large number of particles. The
system is shown to possess an infinite volume limit when (N_1,N_2,V)->infty,
keeping N_1/V^{1/3} and N_2/V^{1/3} fixed. The saddle point approximation
becomes here exact for (N_1,N_2,V)->infty.It provides a nonlinear differential
equation on the particle densities. For the spherically symmetric case, we
compute the densities as functions of two dimensionless physical parameters:
eta_1=G m_1^2 N_1/[V^{1/3} T] and eta_2=G m_2^2 N_2/[V^{1/3} T] (where G is
Newton's constant, m_1 and m_2 the masses of the two kinds of particles and T
the temperature). According to the values of eta_1 and eta_2 the system can be
either in a gaseous phase or in a highly condensed phase.The gaseous phase is
stable for eta_1 and eta_2 between the origin and their collapse values. The
gas is inhomogeneous and the mass M(R) inside a sphere of radius R scales with
R as M(R) propto R^d suggesting a fractal structure. The value of d depends in
general on eta_1 and eta_2 except on the critical line for the canonical ensem-
ble where it takes the universal value d simeq 1.6 for all values of N_1/N_2.
The equation of state is computed.It is found to be locally a perfect gas
equation of state. Thermodynamic functions are computed as functions of eta_1
and eta_2. They exhibit a square root Riemann sheet with the branch points on
the critical canonical line. This treatment is further generalized to the
self-gravitating gas with n-types of particles.
","[{""version"":""v1"",""created"":""Thu, 29 Nov 2001 17:06:36 GMT""},{""version"":""v2"",""created"":""Wed, 26 Jun 2002 15:35:03 GMT""}]","2009-11-07"
"hep-th/0111276","Youm Donam","Donam Youm","The Cardy-Verlinde Formula and Asymptotically de Sitter Brane Universe","12 pages, LaTeX, revised version with minor corrections to appear in
  Phys. Lett. B",,,"IC/2001/160","hep-th gr-qc",,"  We consider the brane universe in the bulk background of the topological
AdS-Schwarzschild black holes, where the brane tension takes larger value than
the fine-tunned value. The resulting universe is radiation dominated and has
positive cosmological constant. We obtain the associated cosmological Cardy
formula and the Cardy-Verlinde formula. We also derive the Hubble and the
Bekenstein entropy bounds from the conjectured holography bound on the Casimir
entropy.
","[{""version"":""v1"",""created"":""Thu, 29 Nov 2001 17:00:48 GMT""},{""version"":""v2"",""created"":""Wed, 5 Dec 2001 15:37:01 GMT""},{""version"":""v3"",""created"":""Mon, 25 Feb 2002 14:17:51 GMT""}]","2007-05-23"
"hep-th/0111277","Jaume Garriga","Jaume Garriga, Oriol Pujolas and Takahiro Tanaka","Moduli effective action in warped brane world compactifications","29 pages, 2 figures, some discussions and some formal changes have
  been added","Nucl.Phys. B655 (2003) 127-169","10.1016/S0550-3213(03)00065-8","YITP-01-85","hep-th astro-ph gr-qc hep-ph",,"  We consider a class of 5-D brane-world solutions with a power-law warp factor
$a(y)\propto y^{q}$, and bulk dilaton with profile $\phi \propto \ln y$, where
$y$ is the proper distance in the extra dimension. This class includes the
Heterotic M-theory brane-world of Refs. \cite{ovrut,ekpy} and the
Randall-Sundrum (RS) model as a limiting case. In general, there are two moduli
fields $y_{\pm}$, corresponding to the ""positions"" of two branes (which live at
the fixed points of an orbifold compactification). Classically, the moduli are
massless, due to a scaling symmetry of the action. However, in the absence of
supersymmetry, they develop an effective potential at one loop. Local terms
proportional to $K_\pm^4$, where $K_\pm=q/y_\pm$ is the local curvature scale
at the location of the corresponding brane, are needed in order to remove the
divergences in the effective potential. Such terms break the scaling symmetry
and hence they may act as stabilizers for the moduli. When the branes are very
close to each other, the effective potential induced by massless bulk fields
behaves like $V\sim d^{-4}$, where $d$ is the separation between branes. When
the branes are widely separated, the potentials for each one of the moduli
generically develop a ""Coleman-Weinberg""-type behaviour of the form
$a^4(y_\pm)K_\pm^4 \ln(K_\pm/\mu_\pm)$, where $\mu_\pm$ are renormalization
scales. In the RS case, the bulk geometry is $AdS$ and $K_\pm$ are equal to a
constant, independent of the position of the branes, so these terms do not
contribute to the mass of the moduli. However, for generic warp factor, they
provide a simple stabilization mechanism. For $q\gtrsim 10$, the observed
hierarchy can be naturally generated by this potential, giving the lightest
modulus a mass of order $m_- \lesssim TeV$.
","[{""version"":""v1"",""created"":""Thu, 29 Nov 2001 17:47:46 GMT""},{""version"":""v2"",""created"":""Tue, 25 Dec 2001 11:45:52 GMT""},{""version"":""v3"",""created"":""Thu, 2 Jan 2003 11:17:38 GMT""}]","2009-11-07"
"hep-th/0111278","Sanjaye Ramgoolam","Pei Ming Ho, Sanjaye Ramgoolam","Higher Dimensional Geometries from Matrix Brane constructions","28 pages (Harvmac big) ; version 2 : minor typos fixed and ref. added","Nucl.Phys. B627 (2002) 266-288","10.1016/S0550-3213(02)00072-X","Brown-Het-1293","hep-th",,"  Matrix descriptions of even dimensional fuzzy spherical branes $S^{2k} $ in
Matrix Theory and other contexts in Type II superstring theory reveal, in the
large $N$ limit, higher dimensional geometries $SO(2k+1)/U(k)$, which have an
interesting spectrum of $SO(2k+1)$ harmonics and can be up to 20 dimensional,
while the spheres are restricted to be of dimension less than 10. In the case
$k=2$, the matrix description has two dual field theory formulations. One
involves a field theory living on the non-commutative coset $SO(5)/U(2)$ which
is a fuzzy $S^2$ fibre bundle over a fuzzy $S^4$. In the other, there is a U(n)
gauge theory on a fuzzy $S^4$ with $ {\cal O}(n^3)$ instantons. The two
descriptions can be related by exploiting the usual relation between the fuzzy
two-sphere and U(n) Lie algebra. We discuss the analogous phenomena in the
higher dimensional cases, developing a relation between fuzzy $SO(2k)/U(k)$
cosets and unitary Lie algebras.
","[{""version"":""v1"",""created"":""Thu, 29 Nov 2001 20:19:36 GMT""},{""version"":""v2"",""created"":""Fri, 18 Jan 2002 20:34:58 GMT""}]","2009-11-07"
"hep-th/0111279","Syksy Rasanen","Syksy Rasanen","On ekpyrotic brane collisions","29 pages, LaTeX2e. v2: Added a reference, revised comments on quantum
  and string corrections","Nucl.Phys. B626 (2002) 183-206","10.1016/S0550-3213(02)00056-1","HIP-2001-64/TH","hep-th",,"  We derive the five-dimensional metrics which describe a non-singular boundary
brane collision in the ekpyrotic scenario in the context of general relativity,
taking into account brane tension. We show that the metrics constrain matter
created in the collision to have negative energy density or pressure. In
particular, the minimal field content of heterotic M-theory leads to negative
energy density. We also consider bulk brane-boundary brane collisions and show
that the collapse of the fifth dimension is an artifact of the four-dimensional
effective theory.
","[{""version"":""v1"",""created"":""Fri, 30 Nov 2001 14:55:39 GMT""},{""version"":""v2"",""created"":""Fri, 7 Dec 2001 17:19:39 GMT""}]","2009-11-07"
"hep-th/0111280","Charles B. Thorn","M. B. Halpern and Charles B. Thorn","Large N Matrix Mechanics on the Light-Cone","23 pages, LaTex, one reference added","Int.J.Mod.Phys.A17:1517-1542,2002","10.1142/S0217751X02009692",,"hep-th",,"  We report a simplification in the large N matrix mechanics of light-cone
matrix field theories. The absence of pure creation or pure annihilation terms
in the Hamiltonian formulation of these theories allows us to find their
reduced large N Hamiltonians as explicit functions of the generators of the
Cuntz algebra. This opens up a free-algebraic playground of new reduced models
-- all of which exhibit new hidden conserved quantities at large N and all of
whose eigenvalue problems are surprisingly simple. The basic tool we develop
for the study of these models is the infinite dimensional algebra of all
normal-ordered products of Cuntz operators, and this algebra also leads us to a
special number-conserving subset of these models, each of which exhibits an
infinite number of new hidden conserved quantities at large N.
","[{""version"":""v1"",""created"":""Thu, 29 Nov 2001 23:15:45 GMT""},{""version"":""v2"",""created"":""Tue, 29 Jan 2002 16:19:03 GMT""}]","2014-11-18"
"hep-th/0111281","Barton Zwiebach","Leonardo Rastelli, Ashoke Sen, and Barton Zwiebach","Star Algebra Spectroscopy","LaTeX, 30 pages, 2 figures","JHEP 0203:029,2002","10.1088/1126-6708/2002/03/029","CTP-MIT-3213, CPGP-01/11-4, PUPT-2016","hep-th",,"  The spectrum of the infinite dimensional Neumann matrices M^{11}, M^{12} and
M^{21} in the oscillator construction of the three-string vertex determines key
properties of the star product and of wedge and sliver states. We study the
spectrum of eigenvalues and eigenvectors of these matrices using the derivation
K_1 = L_1 + L_{-1} of the star algebra, which defines a simple infinite matrix
commuting with the Neumann matrices. By an exact calculation of the spectrum of
K_1, and by consideration of an operator generating wedge states, we are able
to find analytic expressions for the eigenvalues and eigenvectors of the
Neumann matrices and for the spectral density. The spectrum of M^{11} is
continuous in the range [-1/3, 0) with degenerate twist even and twist odd
eigenvectors for every eigenvalue except for -1/3.
","[{""version"":""v1"",""created"":""Thu, 29 Nov 2001 23:53:20 GMT""}]","2009-11-07"
"hep-th/0111282","Richard Woodard","R. P. Woodard (University of Florida at Gainesville)","Resolving the $p^+ = 0$ Ambiguity in a Homogeneous Electric Background","5 pages, LaTeX 2 epsilon, 2 figures, talk presented at the
  International Workshop on Light-cone Physics, Particles and Strings, Trento,
  Italy, Sept. 3-11, 2001","Nucl.Phys.Proc.Suppl. 108 (2002) 165-169","10.1016/S0920-5632(02)01322-1","UFIFT-HEP-01-22","hep-th hep-ph",,"  I present an exact solution for the Heisenberg picture, Dirac electron in the
presence of an electric field which depends arbitrarily upon the light cone
time parameter $x^+ = (t+x)/\sqrt{2}$. This is the largest class of background
fields for which the mode functions have ever been obtained. The solution
applies to electrons of any mass and in any spacetime dimension. The
traditional ambiguity at $p^+ = 0$ is explicitly resolved. It turns out that
the initial value operators include not only $(I + \gamma^0 \gamma^1) \psi$ at
$x^+ = 0$ but also $(I - \gamma^0 \gamma^1) \psi$ at $x^- = -L$. Pair creation
is a discrete and instantaneous event on the light cone, so one can compute the
particle production rate in real time. In $D=1+1$ dimensions one can also see
the anomaly. Another novel feature of the solution is that the expectation
value of the current operators depends nonanalytically upon the background
field. This seems to suggest a new, strong phase of QED.
","[{""version"":""v1"",""created"":""Fri, 30 Nov 2001 00:19:08 GMT""}]","2009-11-07"
"hep-th/0111283","Tsuda","Kazunari Shima","New Einstein-Hilbert Type Action for Unity of Nature","10 pages, Latex, Invited talk given at 100 Years Werner Heisenberg
  -Works and Impact- Sep.26-30,2001, Bamberg, Germany","Fortsch.Phys. 50 (2002) 717-723","10.1002/1521-3978(200205)50:5/7<717::AID-PROP717>3.0.CO;2-B","SIT-LP-01/10","hep-th",,"  The fundamental action of superon-graviton model(SGM) for space-time and
matter is written down explicitly in terms of the fields of the graviton and
superons by using the affine and the spin connection formalisms, alternatively.
Some characteristic structures including some hidden symmetries of the
gravitational coupling of superons are manifested (in two dimensional
space-time) with some details of the calculations. SGM cosmology is discussed
briefly.
","[{""version"":""v1"",""created"":""Fri, 30 Nov 2001 07:06:48 GMT""}]","2015-06-26"
"hep-th/0111284","Giuseppe D'Appollonio","G. D'Appollonio","Aspetti non perturbativi della Teoria delle Stringhe","In Italian",,,"ROM2F-98/43","hep-th",,"  Unabridged version of the Thesis presented to the University of L' Aquila, in
partial fulfillment of the requirements for the ``Laurea'' degree in Physics,
October 1998. Work carried out at the University of L'Aquila and at the
University of Rome ``Tor Vergata''.
","[{""version"":""v1"",""created"":""Fri, 30 Nov 2001 10:06:53 GMT""}]","2007-05-23"
"hep-th/0111285","Stefano Profumo","Stefano Profumo","Non-commutative principal chiral models","15 pages, 2 figures","JHEP 0210 (2002) 035","10.1088/1126-6708/2002/10/035",,"hep-th",,"  Twisted Eguchi-Kawai reduced chiral models are shown to be formally
equivalent to a U(1) non-commutative parent theory. The non-commutative theory
describes the vacuum dynamics of the non-commutative charged tachyonic field of
a brane system. To make contact with the continuum non-commutative theory, a
double scaling large N limit for the reduced model is required. We show a
possible limiting procedure, which we propose to investigate numerically. Our
numerical results show substantial consistency with the outlined procedure
","[{""version"":""v1"",""created"":""Fri, 30 Nov 2001 12:28:37 GMT""},{""version"":""v2"",""created"":""Thu, 5 Sep 2002 15:00:04 GMT""},{""version"":""v3"",""created"":""Wed, 16 Oct 2002 13:53:11 GMT""}]","2009-11-07"
"hep-th/0111286","Grigorii Pivovarov","Grigorii B. Pivovarov and James P. Vary","A Non-Abelian Fourier Transform for Gauge Theories","12 pages","Phys.Rev. D65 (2002) 125004","10.1103/PhysRevD.65.125004",,"hep-th",,"  We consider SU(2) gauge potentials over a space with a compactified
dimension. A non-Abelian Fourier transform of the gauge potential in the
compactified dimension is defined in such a way that the Fourier coefficients
are (almost) gauge invariant. The functional measure and the gauge field
strengths are expressed in terms of these Fourier coefficients. The emerging
formulation of the non-Abelian gauge theory turns out to be an Abelian gauge
theory of a set of fields defined over the initial space with the compactified
dimension excluded. The Abelian theory contains an Abelian gauge field, a
scalar field, and an infinite tower of vector matter fields, some of which
carry Abelian charges. Possible applications of this formalism are discussed
briefly.
","[{""version"":""v1"",""created"":""Fri, 30 Nov 2001 13:31:00 GMT""}]","2009-11-07"
"hep-th/0111287","Roberto Casadio","Roberto Casadio","On dispersion relations and the statistical mechanics of Hawking
  radiation","LaTeX, 12 pages, 6 eps figures included, final version to appear in
  Class. Quantum Gravity","Class.Quant.Grav. 19 (2002) 2453-2462","10.1088/0264-9381/19/9/309",,"hep-th gr-qc",,"  We analyze the interplay between dispersion relations for the spectrum of
Hawking quanta and the statistical mechanics of such a radiation. We first find
the general relation between the occupation number density and the energy
spectrum of Hawking quanta and then study several cases in details. We show
that both the canonical and the microcanonical picture of the evaporation lead
to the same linear dispersion relation for relatively large black holes. We
also compute the occupation number obtained by instead assuming that the
spectrum levels out (and eventually falls to zero) for very large momenta and
show that the luminosity of black holes is not appreciably affected by the
modified statistics.
","[{""version"":""v1"",""created"":""Fri, 30 Nov 2001 13:38:51 GMT""},{""version"":""v2"",""created"":""Wed, 3 Apr 2002 10:54:24 GMT""}]","2009-11-07"
"math-ph/0111047","Margherita Disertori","M. Disertori, H. Pinson, T. Spencer","Density of states for Random Band Matrix","44 pages, 3 figures",,"10.1007/s00220-002-0733-0",,"math-ph math.MP",,"  By applying the supersymmetric approach we rigorously prove smoothness of the
averaged density of states for a three dimensional random band matrix ensemble,
in the limit of infinite volume and fixed band width. We also prove that the
resulting expression for the density of states coincides with the Wigner
semicircle with a precision $1/W^2$, for $W$ large but finite.
","[{""version"":""v1"",""created"":""Thu, 29 Nov 2001 20:47:27 GMT""}]","2009-11-07"
"math/0111304","E. P. van den Ban","E. P. van den Ban, H. Schlichtkrull","The Plancherel decomposition for a reductive symmetric space II.
  Representation theory","60 pages, LaTeX 2e, revised introduction. Accepted by Invent. Math","Inventiones Mathematicae 161 (3) 2005, 567 - 628","10.1007/s00222-004-0432-x",,"math.RT",,"  We obtain the Plancherel decomposition for a reductive symmetric space in the
sense of representation theory. Our starting point is the Plancherel formula
for spherical Schwartz functions, obtained in part I (math.RT/0107063). The
formula for Schwartz functions involves Eisenstein integrals obtained by a
residual calculus. In the present paper we identify these integrals as matrix
coefficients of the generalized principal series.
","[{""version"":""v1"",""created"":""Thu, 29 Nov 2001 16:17:15 GMT""},{""version"":""v2"",""created"":""Fri, 12 Apr 2002 09:33:31 GMT""},{""version"":""v3"",""created"":""Mon, 14 Jul 2003 16:29:27 GMT""},{""version"":""v4"",""created"":""Thu, 25 Nov 2004 12:45:55 GMT""}]","2007-05-23"
"math/0111306","Jonathan W. Brundan","Jonathan Brundan and Alexander Kleshchev","Cartan Determinants and Shapovalov forms",,"Math. Ann. 324 (2002), 431-449.",,,"math.RT",,"  We compute the determinant of the Gram matrix of the Shapovalov form on
weight spaces of the basic representation of an affine Kac-Moody algebra of ADE
type (possibly twisted). As a consequence, we obtain explicit formulae for the
determinants of the Cartan matrices of $p$-blocks of the symmetric group and
its double cover, and of the associated Hecke algebras at roots of unity.
","[{""version"":""v1"",""created"":""Thu, 29 Nov 2001 17:28:36 GMT""}]","2007-05-23"
"math/0111307","Igor Fedorov","I.Yu.Fedorov","Blow-ups of three-dimensional terminal singularities: cA case","7 pages",,,,"math.AG",,"  Divisors with minimal discrepancy over cA points are classified
","[{""version"":""v1"",""created"":""Thu, 29 Nov 2001 20:50:46 GMT""}]","2007-05-23"
"math/0111308","Ragoucy E.","C. Briot and E. Ragoucy","Twisted superYangians and their representations","30 pages, no figure","J. Math. Phys. 44 (2003) 1052",,"LAPTH-875/01","math.QA",,"  Starting with the superYangian Y(M|N) based on gl(M|N), we define twisted
superYangians Y^+(M|N) and Y^-(M|N). Only Y^+(M|2n) and Y^-(2m|N) can be
defined, and appear to be isomorphic one with each other. We study their
finite-dimensional irreducible highest weight representations.
","[{""version"":""v1"",""created"":""Thu, 29 Nov 2001 22:00:52 GMT""}]","2009-11-09"
"math/0111309","Howard Kleiman","Howard Kleiman","The Floyd-Warshall Algorithm, the AP and the TSP","Text in Word 2000, math in MathType 4.0, sent in a PDF file written
  in Acrobat 5.0, 23 pages",,,,"math.CO cs.DS",,"  We use admissible permutations and a variant of the Floyd-Warshall algorithm
to obtain an optimal solution to the Assignment Problem. Using another variant
of the F-W algorithm, we obtain an approximate solution to the Traveling
Salesman Problem. We also give a sufficient condition for the approximate
solution to be an optimal solution.
","[{""version"":""v1"",""created"":""Thu, 29 Nov 2001 23:17:54 GMT""}]","2007-05-23"
"math/0111310","Gilda Reyes","Christian Fronsdal (U. of California, Los Angeles)","q-Algebras and Arrangements of Hyperplanes","21 pages, TeX file, third expanded version",,,"UCLA/01/TEP/32","math.QA hep-th",,"  Varchenko's approach to quantum groups, from the theory of arrangements of
hyperplanes, can be usefully applied to q-algebras in general, of which quantum
groups and quantum (super) Kac-Moody algebras are special cases. New results
are obtained on the classification of q-algebras, and of the Serre ideals of
generalized quantum (super) Kac-Moody algebras.
","[{""version"":""v1"",""created"":""Fri, 30 Nov 2001 00:24:26 GMT""},{""version"":""v2"",""created"":""Tue, 15 Jan 2002 21:57:22 GMT""},{""version"":""v3"",""created"":""Tue, 25 Feb 2003 23:56:31 GMT""}]","2007-05-23"
"math/0111311","Hajime Tsuji","Hajime Tsuji","Subadjunction theorem for pluricanonical divisors","10pages, no figures",,,,"math.AG",,"  We prove a subadjunction theorem which relates the multi-adjoint linear
system of the ambient space and the linear system of the restricted bundle on a
subvariety.
","[{""version"":""v1"",""created"":""Fri, 30 Nov 2001 01:03:58 GMT""},{""version"":""v2"",""created"":""Wed, 9 Jan 2002 07:08:47 GMT""}]","2007-05-23"
"math/0111312","Gergely Harcos","Gergely Harcos","Uniform approximate functional equation for principal L-functions","8 pages, LaTeX2e; v2: shorter abstract in paper, recent amsart
  package used; v3: small alterations in the text (most importantly correcting
  the definition of the analytic conductor (4)), references updated; to appear
  soon in Internat. Math. Res. Notices","Int. Math. Res. Not. 2002, no. 18, 923-932",,,"math.NT",,"  We prove an approximate functional equation for the central value of the
L-series attached to an irreducible cuspidal automorphic representation of
GL(m) over a number field with unitary central character. We investigate the
decay rate of the terms involved using the analytic conductor of Iwaniec and
Sarnak as a guideline. Straightforward extensions of the results exist for
products of central values. We hope that these formulae will help further
understanding of the central values of principal L-functions, such as finding
good bounds on their various power means, or establishing subconvexity or
nonvanishing results in certain families. A crucial role in the proofs is
played by recent progress on the Ramanujan--Selberg conjectures achieved by
Luo, Rudnick and Sarnak. The bounds at the non-Archimedean places enter through
the work of Molteni.
","[{""version"":""v1"",""created"":""Fri, 30 Nov 2001 01:46:45 GMT""},{""version"":""v2"",""created"":""Sun, 2 Dec 2001 19:40:16 GMT""},{""version"":""v3"",""created"":""Tue, 12 Feb 2002 23:58:31 GMT""}]","2007-05-23"
"math/0111313","Yi-Jen Lee","Yi-Jen Lee","Reidemeister torsion in Floer-Novikov theory and counting
  pseudo-holomorphic tori, I","88 pages. the previous version is splitted into two parts. This is
  the first part",,,,"math.DG math.SG",,"  This is the first part of an article in two parts, which builds the
foundation of a Floer-theoretic invariant, (I_F). (See math.DG/0505013 for part
II).
  The Floer homology can be trivial in many variants of the Floer theory; it is
therefore interesting to consider more refined invariants of the Floer complex.
We consider one such instance--the Reidemeister torsion (\tau_F) of the
Floer-Novikov complex of (possibly non-hamiltonian) symplectomorphisms.
(\tau_F) turns out NOT to be invariant under hamiltonian isotopies, but this
failure may be fixed by introducing certain ``correction term'': We define a
Floer-theoretic zeta function (\zeta_F), by counting perturbed
pseudo-holomorphic tori in a way very similar to the genus 1 Gromov invariant.
The main result of this article states that under suitable monotonicity
conditions, the product (I_F:=\tau_F\zeta_F) is invariant under hamiltonian
isotopies. In fact, (I_F) is invariant under general symplectic isotopies when
the underlying symplectic manifold (M) is monotone.
  Because the torsion invariant we consider is not a homotopy invariant, the
continuation method used in typical invariance proofs of Floer theory does not
apply; instead, the detailed bifurcation analysis is worked out. This is the
first time such analysis appears in the Floer theory literature in its
entirety.
  Applications of (I_F), and the construction of (I_F) in different versions of
Floer theories are discussed in sequels to this article.
","[{""version"":""v1"",""created"":""Fri, 30 Nov 2001 03:46:16 GMT""},{""version"":""v2"",""created"":""Tue, 29 Oct 2002 00:10:51 GMT""},{""version"":""v3"",""created"":""Sun, 1 May 2005 18:12:10 GMT""}]","2007-05-23"
"math/0111314","Yukari Ito","Yukari Ito","Special McKay correspondence","Latex 2e, 15 pages, 4 figures. To appear in actes de l'\'ecole
  d'\'et\'e ``G\'eom\'etrie des vari\'et\'es toriques'' (Grenoble, 2000),
  collection S\'eminaires et Congr\`es, SMF 2002",,,,"math.AG",,"  There are many generalizations of the McKay correspondence for higher
dimensional Gorenstein quotient singularities and there are some applications
to compute the topological invariants today. But some of the invariants are
completely different from the classical invariants, in particular for
non-Gorenstein cases. In this paper, we would like to discuss the McKay
correspondence for 2-dimensional quotient singularities via ""special""
representations which gives the classical topological invariants and give a new
characterization of the special representations for cyclic quotient
singularities in terms of combinatorics.
","[{""version"":""v1"",""created"":""Fri, 30 Nov 2001 06:08:40 GMT""}]","2007-05-23"
"math/0111315","Andrew Ranicki","Andrew Ranicki (Edinburgh)","Foundations of algebraic surgery","19 pages. Notes of lecture given at the Summer School on
  High-dimensional Manifold Topology, ICTP Trieste, May-June 2001. To appear in
  Vol. 1 of the Proceedings",,,,"math.AT math.GT",,"  An elementary introduction to the principles of algebraic surgery.
","[{""version"":""v1"",""created"":""Fri, 30 Nov 2001 13:24:46 GMT""}]","2007-05-23"
"math/0111316","Andrew Ranicki","Andrew Ranicki (Edinburgh)","The structure set of an arbitrary space, the algebraic surgery exact
  sequence and the total surgery obstruction","20 pages. Notes of lecture given at the Summer School on
  High-dimensional Manifold Topology, ICTP Trieste, May-June 2001. To appear in
  Vol. 1 of the Proceedings",,,,"math.AT math.GT",,"  An introduction to the applications of algebraic surgery to the structure
theory of high-dimensional topological manifolds.
","[{""version"":""v1"",""created"":""Fri, 30 Nov 2001 13:30:14 GMT""}]","2007-05-23"
"math/0111317","Andrew Ranicki","Andrew Ranicki (Edinburgh)","Circle valued Morse theory and Novikov homology","26 pages. Notes of lecture given at the Summer School on
  High-dimensional Manifold Topology, ICTP Trieste, May-June 2001. To appear in
  Vol. 1 of the Proceedings",,,,"math.AT math.DG",,"  An introduction to circle valued Morse theory and Novikov homology, from an
algebraic point of view.
","[{""version"":""v1"",""created"":""Fri, 30 Nov 2001 13:35:56 GMT""}]","2007-05-23"
"math/0111318","Eduardo Liz","E. Liz, E. Trofimchuk and S. Trofimchuk","Mackey-Glass type delay differential equations near the boundary of
  absolute stability","16 pages, 1 figure, accepted for publication in the Journal of
  Mathematical Analysis and Applications",,,,"math.DS",,"  For equations $ x'(t) = -x(t) + \zeta f(x(t-h)), x \in \R, f'(0)= -1, \zeta >
0,$ with $C^3$-nonlinearity $f$ which has negative Schwarzian derivative and
satisfies $xf(x) < 0$ for $x\not=0$, we prove convergence of all solutions to
zero when both $\zeta -1 >0$ and $h(\zeta-1)^{1/8}$ are less than some constant
(independent on $h,\zeta$). This result gives additional insight to the
conjecture about the equivalence between local and global asymptotical
stabilities in the Mackey-Glass type delay differential equations.
","[{""version"":""v1"",""created"":""Fri, 30 Nov 2001 08:40:56 GMT""},{""version"":""v2"",""created"":""Thu, 10 Oct 2002 08:48:08 GMT""}]","2007-05-23"
"math/0111319","Emilia Mezzetti","Emilia Mezzetti and Orsola Tommasi","On projective varieties of dimension n+k covered by k-spaces","To be published in Illinois Journal of Mathematics",,,,"math.AG",,"  We study families of linear spaces in projective space whose union is a
proper subvariety X of the expected dimension. We establish relations between
configurations of focal points and existence or non-existence of a fixed
tangent space to X along a general element of the family. We apply our results
to the classification of ruled 3-dimensional varieties.
","[{""version"":""v1"",""created"":""Fri, 30 Nov 2001 14:17:38 GMT""}]","2007-05-23"
"math/0111320","Pieter Desmedt","P. Desmedt, J. Quaegebeur and S. Vaes","Amenability and the bicrossed product construction","19 pages LaTeX","Illinois Journal of Mathematics 46 (2002), 1259--1277",,,"math.QA math.OA",,"  We study stability properties of amenable locally compact quantum groups
under the bicrossed product construction. We obtain as our main result an
equivalence between amenability of the bicrossed product and amenability of the
matched quantum groups used as building ingredients of the bicrossed product.
Finally, we give examples of non-amenable locally compact quantum groups
obtained by a bicrossed product construction.
","[{""version"":""v1"",""created"":""Fri, 30 Nov 2001 14:50:50 GMT""}]","2007-05-23"
"math/0111321","Giuseppe Maria Coclite","Stefano Bianchini and Alberto Bressan","Vanishing Viscosity Solutions of Nonlinear Hyperbolic Systems","99 pages, 13 figures",,,"86/2001/M","math.AP",,"  We consider the Cauchy problem for a strictly hyperbolic, $n\times n$ system
in one space dimension: $u_t+A(u)u_x=0$, assuming that the initial data has
small total variation.
  We show that the solutions of the viscous approximations $u_t+A(u)u_x=\ve
u_{xx}$ are defined globally in time and satisfy uniform BV estimates,
independent of $\ve$. Moreover, they depend continuously on the initial data in
the $\L^1$ distance, with a Lipschitz constant independent of $t,\ve$. Letting
$\ve\to 0$, these viscous solutions converge to a unique limit, depending
Lipschitz continuously on the initial data. In the conservative case where
$A=Df$ is the Jacobian of some flux function $f:\R^n\mapsto\R^n$, the vanishing
viscosity limits are precisely the unique entropy weak solutions to the system
of conservation laws $u_t+f(u)_x=0$.
","[{""version"":""v1"",""created"":""Fri, 30 Nov 2001 14:51:41 GMT""}]","2007-05-23"
"math/0111322","Carlos A. Torre","Carlos A. Torre","The definition of a differential form on a tangent structure","14 pages",,,,"math.DG",,"  Three definitions of a differential form on a tangent structure are
considere. It is proved that the (covariant) definition given by Souriau (as a
collection of forms indexed by the plaques) is equivalent to a smooth section
of the corresponding vector bundle if the space does not have transverse
points.
","[{""version"":""v1"",""created"":""Fri, 30 Nov 2001 15:06:18 GMT""}]","2007-05-23"
"math/0111323","Jianjuan Kathy Zhong","Jianyuan K. Zhong (Louisiana Tech University), Bin Lu (University of
  Arizona)","The Kauffman polynomials of generalized Hopf links","16 pages, 40 figures, amslatex, using epsf.tex",,,,"math.GT math.QA",,"  Following the recent work by Chan, and by Morton and Hadji on the Homflypt
polynomials of some generalized Hopf links, we investigate the Kauffman
polynomials of generalized Hopf links. By studying the Kauffman skein module of
the solid torus S^1\times D^2, we establish a similar skein map on the Kauffman
skein module of S^1\times D^2 which has distinct eigenvalues. Furthermore we
are able to calculate the Kauffman polynomials of some specific generalized
Hopf links.
","[{""version"":""v1"",""created"":""Fri, 30 Nov 2001 15:46:22 GMT""}]","2007-05-23"
"math/0111325","Daniel Arnaudon","D. Arnaudon, J. Avan, N. Crampe, L. Frappat, E. Ragoucy","R-matrix presentation for (super)-Yangians Y(g)","9 pages","J. Math. Phys. 44 (2003) 302","10.1063/1.1525406","LAPTH-878/01, PAR-LPTHE 01-70","math.QA math-ph math.MP",,"  We give a unified RTT presentation of (super)-Yangians Y(g) for so(n), sp(2n)
and osp(m|2n).
","[{""version"":""v1"",""created"":""Fri, 30 Nov 2001 15:32:13 GMT""},{""version"":""v2"",""created"":""Fri, 10 Jan 2003 16:17:37 GMT""}]","2009-11-07"
